Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
29-Oct-2019;17:20:22;default              ;112606033 ;KRLr4_58             ;0.00;min;8.727;mg/l;humid;29.032;deg;41136;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39224;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.182;V;
29-Oct-2019;17:20:23;default              ;112606033 ;KRLr4_58             ;0.02;min;8.737;mg/l;humid;29.019;deg;40109;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39201;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.183;V;
29-Oct-2019;17:20:24;default              ;112606033 ;KRLr4_58             ;0.03;min;8.749;mg/l;humid;29.004;deg;39705;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39190;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.184;V;
29-Oct-2019;17:20:25;default              ;112606033 ;KRLr4_58             ;0.05;min;8.811;mg/l;humid;28.927;deg;16411;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39190;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.184;V;
29-Oct-2019;17:20:30;default              ;189658826 ;KRLr4_59             ;0.13;min;8.929;mg/l;humid;28.781;deg;12197;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39220;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.183;V;
29-Oct-2019;17:20:31;default              ;189658826 ;KRLr4_59             ;0.15;min;8.759;mg/l;humid;28.992;deg;34381;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39168;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.183;V;
29-Oct-2019;17:20:32;default              ;189658826 ;KRLr4_59             ;0.17;min;8.774;mg/l;humid;28.972;deg;34915;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39185;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.184;V;
29-Oct-2019;17:20:33;default              ;189658826 ;KRLr4_59             ;0.18;min;8.765;mg/l;humid;28.984;deg;34479;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39184;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.184;V;
29-Oct-2019;17:20:34;default              ;189658826 ;KRLr4_59             ;0.20;min;9.142;mg/l;humid;28.524;deg;5990;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39191;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.182;V;
29-Oct-2019;17:20:40;default              ;519632542 ;KRLr4_60             ;0.30;min;8.736;mg/l;humid;29.020;deg;39537;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39226;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.183;V;
